Time	Component	Volatility OIS	Volatility Spread
14	22	0.30284477699198314	0.30284477699198314
14	23	0.27274316556561773	0.27274316556561773
14	24	0.24360350982590284	0.24360350982590281
14	25	0.21606615880655106	0.21606615880655103
14	26	0.19050770190776606	0.19050770190776606
14	27	0.16711555098225114	0.16711555098225114
14	28	0.14594415030052307	0.14594415030052307
14	29	0.12695702433805303	0.12695702433805303
14	30	0.11005795074158876	0.11005795074158875
14	31	0.09511381938692928	0.09511381938692928
14	32	0.08197116734187766	0.08197116734187766
14	33	0.07046793134692164	0.07046793134692164
14	34	0.06044160833282283	0.06044160833282283
14	35	0.051734740030648096	0.051734740030648096
14	36	0.0441984236510464	0.04419842365104639
14	37	0.03769438404237594	0.03769438404237594
14	38	0.032096013491178084	0.032096013491178084
14	39	0.027288685346296113	0.02728868534629611
15	0	0.0	0.0
15	1	0.0	0.0
15	2	0.0	0.0
15	3	0.0	0.0
15	4	0.0	0.0
15	5	0.0	0.0
15	6	0.0	0.0
15	7	0.0	0.0
15	8	0.0	0.0
15	9	0.0	0.0
15	10	0.0	0.0
15	11	0.0	0.0
15	12	0.0	0.0
15	13	0.0	0.0
15	14	0.0	0.0
15	15	0.0	0.0
15	16	0.36842883888509176	0.36842883888509176
15	17	0.4021920276213833	0.4021920276213833
15	18	0.4116087270705196	0.41160872707051954
15	19	0.4043960677054991	0.4043960677054991
15	20	0.3862734132300145	0.38627341323001446
15	21	0.3614330542946425	0.3614330542946424
15	22	0.3329059013211688	0.3329059013211688
15	23	0.302844776991983	0.30284477699198303
15	24	0.2727431655656178	0.27274316556561773
15	25	0.2436035098259029	0.24360350982590287
15	26	0.21606615880655092	0.21606615880655092
15	27	0.19050770190776606	0.19050770190776606
15	28	0.16711555098225123	0.16711555098225123
15	29	0.14594415030052305	0.14594415030052302
15	30	0.12695702433805306	0.12695702433805306
15	31	0.11005795074158878	0.11005795074158878
15	32	0.09511381938692925	0.09511381938692925
15	33	0.0819711673418777	0.08197116734187769
15	34	0.07046793134692168	0.07046793134692168
15	35	0.06044160833282281	0.06044160833282281
15	36	0.05173474003064811	0.0517347400306481
15	37	0.0441984236510464	0.0441984236510464
15	38	0.03769438404237591	0.037694384042375906
15	39	0.032096013491178056	0.03209601349117805
16	0	0.0	0.0
16	1	0.0	0.0
16	2	0.0	0.0
16	3	0.0	0.0
16	4	0.0	0.0
16	5	0.0	0.0
16	6	0.0	0.0
16	7	0.0	0.0
16	8	0.0	0.0
16	9	0.0	0.0
16	10	0.0	0.0
16	11	0.0	0.0
16	12	0.0	0.0
16	13	0.0	0.0
16	14	0.0	0.0
16	15	0.0	0.0
16	16	0.0	0.0
16	17	0.3684288388850915	0.3684288388850915
16	18	0.4021920276213834	0.40219202762138334
16	19	0.4116087270705195	0.41160872707051943
16	20	0.4043960677054994	0.40439606770549935
16	21	0.3862734132300146	0.38627341323001446
16	22	0.3614330542946425	0.3614330542946425
16	23	0.3329059013211686	0.33290590132116865
16	24	0.30284477699198303	0.30284477699198303
16	25	0.2727431655656178	0.2727431655656178
16	26	0.24360350982590276	0.24360350982590276
16	27	0.21606615880655092	0.21606615880655095
16	28	0.19050770190776614	0.1905077019077661
16	29	0.1671155509822512	0.16711555098225117
16	30	0.14594415030052307	0.14594415030052307
16	31	0.1269570243380531	0.1269570243380531
16	32	0.11005795074158875	0.11005795074158875
16	33	0.09511381938692931	0.09511381938692931
16	34	0.08197116734187773	0.08197116734187773
16	35	0.07046793134692164	0.07046793134692164
16	36	0.06044160833282283	0.060441608332822826
16	37	0.05173474003064812	0.05173474003064812
16	38	0.04419842365104636	0.04419842365104636
16	39	0.037694384042375864	0.037694384042375864
17	0	0.0	0.0
17	1	0.0	0.0
17	2	0.0	0.0
17	3	0.0	0.0
17	4	0.0	0.0
17	5	0.0	0.0
17	6	0.0	0.0
17	7	0.0	0.0
17	8	0.0	0.0
17	9	0.0	0.0
17	10	0.0	0.0
17	11	0.0	0.0
17	12	0.0	0.0
17	13	0.0	0.0
17	14	0.0	0.0
17	15	0.0	0.0
17	16	0.0	0.0
17	17	0.0	0.0
17	18	0.3684288388850916	0.3684288388850916
17	19	0.4021920276213833	0.4021920276213833
17	20	0.4116087270705198	0.41160872707051976
17	21	0.4043960677054994	0.40439606770549935
17	22	0.3862734132300146	0.3862734132300146
17	23	0.3614330542946423	0.3614330542946423
17	24	0.3329059013211687	0.33290590132116865
17	25	0.30284477699198314	0.3028447769919831
17	26	0.2727431655656177	0.2727431655656177
17	27	0.24360350982590276	0.24360350982590276
17	28	0.21606615880655103	0.21606615880655103
17	29	0.1905077019077661	0.19050770190776606
17	30	0.16711555098225123	0.16711555098225123
17	31	0.1459441503005231	0.1459441503005231
17	32	0.12695702433805306	0.12695702433805306
17	33	0.1100579507415888	0.11005795074158879
17	34	0.09511381938692935	0.09511381938692935
